idacidente;longitude;latitude;data;hora;log1;log2;predial1;regiao;tipo_acid;tipo_veic;dia_sem;periododia;sit_vitima;sexo;idade;fx_et;fatais
643957;-51,214581;-30,018955;10/01/2018;18:30:00;R PERDIGAO;;58;NORTE;ATROPELAMENTO;;QUARTA-FEIRA;NOITE;PEDESTRE;FEMININO;3;0 A 10;0
646641;-51,19883;-30,032936;17/04/2018;23:00:00;R CASEMIRO DE ABREU;;950;LESTE;COLISÃO;MOTOCICLETA;TERÇA-FEIRA;NOITE;CONDUTOR;MASCULINO;36;36 A 45;0
715664;-51,21716791;-30,02942373;21/01/2023;12:00:00;AV INDEPENDENCIA;;419;CENTRO;COLISÃO;MOTOCICLETA;SÁBADO;TARDE;CONDUTOR;MASCULINO;25;18 A 25;0
697443;-51,18750356;-29,98741764;30/06/2022;07:57:00;AV ERNESTO NEUGEBAUER;;910;NORTE;CHOQUE;AUTOMÓVEL;QUINTA-FEIRA;MANHÃ;OCUPANTE;FEMININO;;NI;0
731063;-51,14374944;-30,06909269;02/06/2023;15:37:00;AV BENTO GONCALVES;;7225;LESTE;ATROPELAMENTO;AUTOMÓVEL;SEXTA-FEIRA;TARDE;OCUPANTE;FEMININO;32;26 A 35;0
645355;-51,131533;-30,091551;28/02/2018;19:00:00;ESTR JOAO DE OLIVEIRA REMIAO;;1770;LESTE;ABALROAMENTO;AUTOMÓVEL;QUARTA-FEIRA;NOITE;CONDUTOR;MASCULINO;27;26 A 35;0
729193;-51,23680922;-30,04238925;20/04/2023;13:50:00;AV EDVALDO PEREIRA PAIVA;;1000;CENTRO;ABALROAMENTO;MOTOCICLETA;QUINTA-FEIRA;TARDE;CONDUTOR;MASCULINO;41;36 A 45;0
701030;-51,20124223;-29,99960949;30/09/2022;19:05:00;AV SERTORIO;;473;NORTE;NAO CADASTRADO;MOTOCICLETA;SEXTA-FEIRA;NOITE;CONDUTOR;MASCULINO;;NI;0
731048;-51,18485676;-30,04377292;01/06/2023;18:15:00;R BARAO DO AMAZONAS;R LA PLATA;;LESTE;COLISÃO;MOTOCICLETA;QUINTA-FEIRA;NOITE;CONDUTOR;MASCULINO;;NI;0
717107;-51,10919935;-30,00201187;28/02/2023;21:00:00;R ARIOVALDO ALVES PAZ;;5;NORTE;ATROPELAMENTO;;TERÇA-FEIRA;NOITE;PEDESTRE;FEMININO;39;36 A 45;0
650696;-51,118278;-29,986903;11/08/2018;15:00:00;R SENHOR DO BOM FIM;;700;NORTE;ABALROAMENTO;MOTOCICLETA;SÁBADO;TARDE;CONDUTOR;MASCULINO;22;18 A 25;0
689963;-51,2124896;-30,04691898;01/12/2021;11:30:00;AV IPIRANGA;;1478;CENTRO;ABALROAMENTO;MOTOCICLETA;QUARTA-FEIRA;MANHÃ;CONDUTOR;MASCULINO;20;18 A 25;0
646611;-51,132034;-30,010733;16/04/2018;22:50:00;AV BALTAZAR DE OLIVEIRA GARCIA;;1246;NORTE;ABALROAMENTO;AUTOMÓVEL;SEGUNDA-FEIRA;NOITE;CONDUTOR;MASCULINO;37;36 A 45;0
685160;-51,22446531;-30,13524989;03/08/2021;08:20:00;AV JUCA BATISTA;ESTR CHAPEU DO SOL;0;SUL;ABALROAMENTO;MOTOCICLETA;TERÇA-FEIRA;MANHÃ;CONDUTOR;MASCULINO;;NI;0
684226;-51,22034658;-30,07616529;29/06/2021;17:00:00;AV JORACY CAMARGO;;553;SUL;NAO CADASTRADO;MOTOCICLETA;TERÇA-FEIRA;TARDE;CONDUTOR;MASCULINO;;NI;0
736335;-51,20351972;-30,05209646;04/10/2023;21:10:00;R GUILHERME SCHELL;;102;SUL;ABALROAMENTO;MOTOCICLETA;QUARTA-FEIRA;NOITE;CONDUTOR;MASCULINO;48;46 A 59;0
717099;-51,23182244;-30,04801247;04/03/2023;17:15:00;AV IPIRANGA;AV ERICO VERISSIMO;;CENTRO;QUEDA;MOTOCICLETA;SÁBADO;TARDE;CONDUTOR;MASCULINO;;NI;0
731522;-51,16492522;-30,05549245;13/06/2023;07:57:00;AV IPIRANGA;;7348;LESTE;COLISÃO;MOTOCICLETA;TERÇA-FEIRA;MANHÃ;CONDUTOR;MASCULINO;30;26 A 35;0
659288;-51,15489274;-29,99805267;17/04/2019;20:00:00;AV SERTORIO;;4890;NORTE;ABALROAMENTO;MOTOCICLETA;QUARTA-FEIRA;NOITE;CONDUTOR;MASCULINO;30;26 A 35;0
696225;-51,12853762;-30,01155686;30/05/2022;23:30:00;AV BALTAZAR DE OLIVEIRA GARCIA;;1624;NORTE;COLISÃO;BICICLETA;SEGUNDA-FEIRA;NOITE;CONDUTOR;MASCULINO;45;36 A 45;0
732107;-51,15106936;-30,06556132;25/06/2023;13:17:00;AV ANTONIO CARVALHO;AV UIRAPURU;;LESTE;ABALROAMENTO;MOTOCICLETA;DOMINGO;TARDE;CONDUTOR;MASCULINO;25;18 A 25;0
732837;-51,16784346;-30,04978969;15/07/2023;18:34:00;R PROF PEDRO SANTA HELENA;R GRACILIANO RAMOS;400;LESTE;ABALROAMENTO;MOTOCICLETA;SÁBADO;NOITE;CONDUTOR;MASCULINO;48;46 A 59;0
703690;-51,17178355;-30,06956977;28/11/2022;09:30:00;R CONDOR;;245;LESTE;COLISÃO;MOTOCICLETA;SEGUNDA-FEIRA;MANHÃ;CONDUTOR;MASCULINO;49;46 A 59;0
699734;-51,20428882;-30,04495678;31/08/2022;12:00:00;R SAO MANOEL;;1277;LESTE;COLISÃO;MOTOCICLETA;QUARTA-FEIRA;TARDE;CONDUTOR;MASCULINO;19;18 A 25;0
693514;-51,18015376;-30,03106738;03/03/2022;08:19:00;AV CARLOS GOMES;;1080;LESTE;COLISÃO;MOTOCICLETA;QUINTA-FEIRA;MANHÃ;CONDUTOR;MASCULINO;21;18 A 25;0
682757;-51,12217494;-30,00683729;02/06/2021;22:30:00;R SILVESTRE FELIX RODRIGUES;;567;NORTE;COLISÃO;MOTOCICLETA;QUARTA-FEIRA;NOITE;CONDUTOR;MASCULINO;33;26 A 35;0
715421;-51,14710042;-30,06788117;17/01/2023;06:45:00;AV BENTO GONCALVES;;6916;LESTE;ABALROAMENTO;MOTOCICLETA;TERÇA-FEIRA;MADRUGADA;CONDUTOR;MASCULINO;26;26 A 35;0
